year,week_number,count_type,subtotal_sum,parish_sum,difference,absolute_difference,arithmetic_error,legible_only,legible
1646,45,plague,52,52,0,0,False,False,True
1646,46,buried,275,275,0,0,False,False,True
1646,46,plague,55,55,0,0,False,False,True
1646,47,buried,200,200,0,0,False,False,True
1646,47,plague,27,27,0,0,False,False,True
1646,48,buried,226,226,0,0,False,False,False
1646,48,plague,37,37,0,0,False,False,False
1646,49,buried,223,223,0,0,False,False,False
1646,49,plague,34,34,0,0,False,False,False
1646,50,buried,224,224,0,0,False,False,True
1646,50,plague,32,32,0,0,False,False,True
1646,51,buried,212,212,0,0,False,False,False
1646,51,plague,26,26,0,0,False,False,False
1646,52,buried,185,185,0,0,False,False,False
1646,52,plague,29,29,0,0,False,False,False
1647,1,buried,191,191,0,0,False,False,True
1647,1,plague,29,29,0,0,False,False,True
1647,2,buried,205,205,0,0,False,False,True
1647,2,plague,24,24,0,0,False,False,True
1647,3,buried,187,185,2,2,True,False,False
1647,3,plague,17,17,0,0,False,False,False
1647,4,buried,199,199,0,0,False,False,True
1647,4,plague,17,17,0,0,False,False,True
1647,5,buried,166,166,0,0,False,False,True
1647,5,plague,10,10,0,0,False,False,True
1647,6,buried,175,174,1,1,True,False,True
1647,6,plague,16,16,0,0,False,False,True
1647,7,buried,185,185,0,0,False,False,True
1647,7,plague,9,9,0,0,False,False,True
1647,8,buried,220,220,0,0,False,False,True
1647,8,plague,20,20,0,0,False,False,True
1647,9,buried,220,220,0,0,False,False,False
1647,9,plague,17,17,0,0,False,False,False
1647,10,buried,200,200,0,0,False,False,True
1647,10,plague,11,11,0,0,False,False,True
1647,11,buried,217,217,0,0,False,False,True
1647,11,plague,11,11,0,0,False,False,True
1647,12,buried,245,245,0,0,False,False,True
1647,12,plague,12,12,0,0,False,False,True
1647,13,buried,217,217,0,0,False,False,True
1647,13,plague,8,8,0,0,False,False,True
1647,14,buried,233,233,0,0,False,False,True
1647,14,plague,4,4,0,0,False,False,True
1647,15,buried,175,212,-37,37,True,False,False
1647,15,plague,5,7,-2,2,True,False,False
1647,16,buried,225,185,40,40,True,False,False
1647,16,plague,7,10,-3,3,True,False,False
1647,17,buried,201,199,2,2,True,False,False
1647,17,plague,2,7,-5,5,True,False,False
1647,18,buried,223,223,0,0,False,False,False
1647,18,plague,3,6,-3,3,True,False,False
1647,19,buried,180,165,15,15,True,False,False
1647,19,plague,2,21,-19,19,True,False,False
1647,20,buried,167,166,1,1,True,False,False
1647,20,plague,2,2,0,0,False,False,False
1647,21,buried,185,182,3,3,True,False,False
1647,21,plague,4,13,-9,9,True,False,False
1647,22,buried,176,170,6,6,True,False,False
1647,22,plague,2,4,-2,2,True,False,False
1647,23,buried,159,144,15,15,True,False,False
1647,23,plague,1,1,0,0,False,False,False
1647,24,buried,197,185,12,12,True,False,False
1647,24,plague,7,11,-4,4,True,False,False
1647,25,buried,158,155,3,3,True,False,False
1647,25,plague,2,7,-5,5,True,False,False
1647,26,buried,181,181,0,0,False,False,False
1647,26,plague,10,15,-5,5,True,False,False
1647,27,buried,187,187,0,0,False,False,False
1647,27,plague,13,16,-3,3,True,False,False
1647,28,buried,197,197,0,0,False,False,False
1647,28,plague,13,29,-16,16,True,False,False
1647,29,buried,268,258,10,10,True,False,False
1647,29,plague,22,47,-25,25,True,False,False
1647,30,buried,317,317,0,0,False,False,True
1647,30,plague,97,97,0,0,False,False,True
1647,31,buried,390,390,0,0,False,False,False
1647,31,plague,128,125,3,3,True,False,False
1647,32,buried,363,363,0,0,False,False,True
1647,32,plague,151,151,0,0,False,False,True
1647,33,buried,436,436,0,0,False,False,True
1647,33,plague,209,229,-20,20,True,False,True
1647,34,buried,439,439,0,0,False,False,True
1647,34,plague,191,191,0,0,False,False,True
1647,35,buried,520,520,0,0,False,False,False
1647,35,plague,248,248,0,0,False,False,False
1647,36,buried,434,434,0,0,False,False,False
1647,36,plague,161,161,0,0,False,False,False
1647,37,buried,450,450,0,0,False,False,False
1647,37,plague,208,208,0,0,False,False,False
1647,39,buried,430,430,0,0,False,False,True
1647,39,plague,184,184,0,0,False,False,True
1647,40,buried,493,464,29,29,True,False,True
1647,40,plague,215,215,0,0,False,False,True
1647,42,buried,403,403,0,0,False,False,False
1647,42,plague,183,183,0,0,False,False,False
1647,43,buried,359,359,0,0,False,False,True
1647,43,plague,172,172,0,0,False,False,True
1647,44,buried,367,367,0,0,False,False,False
1647,44,plague,163,163,0,0,False,False,False
1647,46,buried,304,304,0,0,False,False,False
1647,46,plague,120,120,0,0,False,False,False
1647,47,buried,265,265,0,0,False,False,True
1647,47,plague,84,84,0,0,False,False,True
1647,48,buried,279,279,0,0,False,False,True
1647,48,plague,66,66,0,0,False,False,True
1647,49,buried,261,261,0,0,False,False,True
1647,49,plague,60,60,0,0,False,False,True
1647,50,buried,182,182,0,0,False,False,True
1647,50,plague,18,18,0,0,False,False,True
1647,52,buried,172,172,0,0,False,False,True
1647,52,plague,15,15,0,0,False,False,True
1649,2,buried,137,137,0,0,False,False,True
1649,2,plague,0,0,0,0,False,False,True
1649,3,buried,185,184,1,1,True,False,True
1649,3,plague,0,0,0,0,False,False,True
1649,4,buried,205,205,0,0,False,False,True
1649,4,plague,0,0,0,0,False,False,True
1649,5,buried,203,185,18,18,True,False,True
1649,5,plague,0,0,0,0,False,False,True
1649,6,buried,337,255,82,82,True,False,False
1649,6,plague,0,0,0,0,False,False,False
1649,7,buried,153,153,0,0,False,False,True
1649,7,plague,0,0,0,0,False,False,True
1649,8,buried,153,142,11,11,True,False,False
1649,8,plague,0,0,0,0,False,False,False
1649,9,buried,179,179,0,0,False,False,True
1649,9,plague,0,0,0,0,False,False,True
1649,10,buried,146,146,0,0,False,False,True
1649,10,plague,0,0,0,0,False,False,True
1649,11,buried,168,168,0,0,False,False,True
1649,11,plague,0,0,0,0,False,False,True
1649,12,buried,148,148,0,0,False,False,True
1649,12,plague,0,0,0,0,False,False,True
1649,13,buried,190,190,0,0,False,False,True
1649,13,plague,0,0,0,0,False,False,True
1649,14,buried,160,160,0,0,False,False,True
1649,14,plague,0,0,0,0,False,False,True
1649,15,buried,212,212,0,0,False,False,False
1649,15,plague,0,0,0,0,False,False,False
1649,16,buried,213,213,0,0,False,False,True
1649,16,plague,1,1,0,0,False,False,True
1649,17,buried,217,217,0,0,False,False,True
1649,17,plague,0,0,0,0,False,False,True
1649,18,buried,191,191,0,0,False,False,True
