week,unique_identifier,start_day,start_month,end_day,end_month,parish_name,count_type,count,year
22,1669-22-recto,18,May,25,May,Alhallows Stayning,Plague,,1669
22,1669-22-recto,18,May,25,May,Alhallows the Wall,Buried,1,1669
22,1669-22-recto,18,May,25,May,Alhallows the Wall,Plague,,1669
22,1669-22-recto,18,May,25,May,St Alphage,Buried,1,1669
22,1669-22-recto,18,May,25,May,St Alphage,Plague,,1669
22,1669-22-recto,18,May,25,May,St Andrew Hubbard,Buried,,1669
22,1669-22-recto,18,May,25,May,St Andrew Hubbard,Plague,,1669
22,1669-22-recto,18,May,25,May,St Andrew Undershaft,Buried,,1669
22,1669-22-recto,18,May,25,May,St Andrew Undershaft,Plague,,1669
22,1669-22-recto,18,May,25,May,St Andrew Wardrobe,Buried,,1669
22,1669-22-recto,18,May,25,May,St Andrew Wardrobe,Plague,,1669
22,1669-22-recto,18,May,25,May,St Ann Aldersgate,Buried,1,1669
22,1669-22-recto,18,May,25,May,St Ann Aldersgate,Plague,,1669
22,1669-22-recto,18,May,25,May,St Ann Blackfryers,Buried,2,1669
22,1669-22-recto,18,May,25,May,St Ann Blackfryers,Plague,,1669
22,1669-22-recto,18,May,25,May,St Antholins Parish,Buried,,1669
22,1669-22-recto,18,May,25,May,St Antholins Parish,Plague,,1669
22,1669-22-recto,18,May,25,May,St Austins Parish,Buried,,1669
22,1669-22-recto,18,May,25,May,St Austins Parish,Plague,,1669
22,1669-22-recto,18,May,25,May,St Bartholomew Exchange,Buried,,1669
22,1669-22-recto,18,May,25,May,St Bartholomew Exchange,Plague,,1669
22,1669-22-recto,18,May,25,May,St Bennet Fynck,Buried,,1669
22,1669-22-recto,18,May,25,May,St Bennet Fynck,Plague,,1669
22,1669-22-recto,18,May,25,May,St Bennet Gracechurch,Buried,,1669
22,1669-22-recto,18,May,25,May,St Bennet Gracechurch,Plague,,1669
22,1669-22-recto,18,May,25,May,St Bennet Paulswharf,Buried,,1669
22,1669-22-recto,18,May,25,May,St Bennet Paulswharf,Plague,,1669
22,1669-22-recto,18,May,25,May,St Bennet Sherehog,Buried,,1669
22,1669-22-recto,18,May,25,May,St Bennet Sherehog,Plague,,1669
22,1669-22-recto,18,May,25,May,St Botolph Billingsgate,Buried,,1669
22,1669-22-recto,18,May,25,May,St Botolph Billingsgate,Plague,,1669
22,1669-22-recto,18,May,25,May,Christ Church,Buried,,1669
22,1669-22-recto,18,May,25,May,Christ Church,Plague,,1669
22,1669-22-recto,18,May,25,May,St Christophers,Buried,,1669
22,1669-22-recto,18,May,25,May,St Christophers,Plague,,1669
22,1669-22-recto,18,May,25,May,St Clement Eastcheap,Buried,,1669
