count_type,count,parish_id,id,week_id,year_range,year_id,split_year
Buried,,32,307,1668-1669-22,1668-1669,1669,1668/1669
Plague,,32,308,1668-1669-22,1668-1669,1669,1668/1669
Buried,,33,309,1668-1669-22,1668-1669,1669,1668/1669
Plague,,33,310,1668-1669-22,1668-1669,1669,1668/1669
Buried,,36,311,1668-1669-22,1668-1669,1669,1668/1669
Plague,,36,312,1668-1669-22,1668-1669,1669,1668/1669
Buried,,11,313,1668-1669-22,1668-1669,1669,1668/1669
Plague,,11,314,1668-1669-22,1668-1669,1669,1668/1669
Buried,,39,315,1668-1669-22,1668-1669,1669,1668/1669
Plague,,39,316,1668-1669-22,1668-1669,1669,1668/1669
Buried,,41,317,1668-1669-22,1668-1669,1669,1668/1669
Plague,,41,318,1668-1669-22,1668-1669,1669,1668/1669
Buried,,42,319,1668-1669-22,1668-1669,1669,1668/1669
Plague,,42,320,1668-1669-22,1668-1669,1669,1668/1669
Buried,3,43,321,1668-1669-22,1668-1669,1669,1668/1669
Plague,,43,322,1668-1669-22,1668-1669,1669,1668/1669
Buried,,45,323,1668-1669-22,1668-1669,1669,1668/1669
Plague,,45,324,1668-1669-22,1668-1669,1669,1668/1669
Buried,,46,325,1668-1669-22,1668-1669,1669,1668/1669
Plague,,46,326,1668-1669-22,1668-1669,1669,1668/1669
Buried,,47,327,1668-1669-22,1668-1669,1669,1668/1669
Plague,,47,328,1668-1669-22,1668-1669,1669,1668/1669
Buried,,48,329,1668-1669-22,1668-1669,1669,1668/1669
Plague,,48,330,1668-1669-22,1668-1669,1669,1668/1669
Buried,,49,331,1668-1669-22,1668-1669,1669,1668/1669
Plague,,49,332,1668-1669-22,1668-1669,1669,1668/1669
Buried,,50,333,1668-1669-22,1668-1669,1669,1668/1669
Plague,,50,334,1668-1669-22,1668-1669,1669,1668/1669
Buried,,54,335,1668-1669-22,1668-1669,1669,1668/1669
Plague,,54,336,1668-1669-22,1668-1669,1669,1668/1669
Buried,1,55,337,1668-1669-22,1668-1669,1669,1668/1669
Plague,,55,338,1668-1669-22,1668-1669,1669,1668/1669
Buried,,57,339,1668-1669-22,1668-1669,1669,1668/1669
Plague,,57,340,1668-1669-22,1668-1669,1669,1668/1669
Buried,,58,341,1668-1669-22,1668-1669,1669,1668/1669
Plague,,58,342,1668-1669-22,1668-1669,1669,1668/1669
Buried,,59,343,1668-1669-22,1668-1669,1669,1668/1669
Plague,,59,344,1668-1669-22,1668-1669,1669,1668/1669
Buried,,60,345,1668-1669-22,1668-1669,1669,1668/1669
Plague,,60,346,1668-1669-22,1668-1669,1669,1668/1669
Buried,,61,347,1668-1669-22,1668-1669,1669,1668/1669
Plague,,61,348,1668-1669-22,1668-1669,1669,1668/1669
Buried,2,62,349,1668-1669-22,1668-1669,1669,1668/1669
Plague,,62,350,1668-1669-22,1668-1669,1669,1668/1669
Buried,1,63,351,1668-1669-22,1668-1669,1669,1668/1669
Plague,,63,352,1668-1669-22,1668-1669,1669,1668/1669
Buried,1,65,353,1668-1669-22,1668-1669,1669,1668/1669
Plague,,65,354,1668-1669-22,1668-1669,1669,1668/1669
Buried,,66,355,1668-1669-22,1668-1669,1669,1668/1669
Plague,,66,356,1668-1669-22,1668-1669,1669,1668/1669
Buried,,67,357,1668-1669-22,1668-1669,1669,1668/1669
Plague,,67,358,1668-1669-22,1668-1669,1669,1668/1669
Buried,,68,359,1668-1669-22,1668-1669,1669,1668/1669
Plague,,68,360,1668-1669-22,1668-1669,1669,1668/1669
