count_type,count,bill_type,parish_id,id,week_id,year_range,year_id,split_year
Plague,,Weekly,41,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,42,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,42,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,3,Weekly,43,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,43,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,45,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,45,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,46,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,46,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,47,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,47,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,48,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,48,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,49,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,49,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,50,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,50,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,54,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,54,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,1,Weekly,55,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,55,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,57,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,57,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,58,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,58,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,59,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,59,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,60,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,60,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,61,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,61,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,2,Weekly,62,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,62,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,1,Weekly,63,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,63,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,1,Weekly,65,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,65,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,66,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,66,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,67,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,67,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,68,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,68,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,71,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,71,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,72,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,72,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,73,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,73,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,74,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,74,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,,Weekly,75,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,75,2,1668-1669-22,1668-1669,1669,1668/1669
Buried,2,Weekly,83,2,1668-1669-22,1668-1669,1669,1668/1669
Plague,,Weekly,83,2,1668-1669-22,1668-1669,1669,1668/1669
