count,count_type,bill_type,parish_id,year,week_id,year_range,split_year
19,Total,General,122,1682,1681-1682-90,1681-1682,1681/1682
36,Total,General,123,1682,1681-1682-90,1681-1682,1681/1682
4,Total,General,124,1682,1681-1682-90,1681-1682,1681/1682
30,Total,General,125,1682,1681-1682-90,1681-1682,1681/1682
6,Total,General,126,1682,1681-1682-90,1681-1682,1681/1682
49,Total,General,127,1682,1681-1682-90,1681-1682,1681/1682
12,Total,General,128,1682,1681-1682-90,1681-1682,1681/1682
34,Total,General,129,1682,1681-1682-90,1681-1682,1681/1682
4,Total,General,135,1682,1681-1682-90,1681-1682,1681/1682
26,Total,General,136,1682,1681-1682-90,1681-1682,1681/1682
12,Total,General,137,1682,1681-1682-90,1681-1682,1681/1682
2,Total,General,138,1682,1681-1682-90,1681-1682,1681/1682
134,Total,General,139,1682,1681-1682-90,1681-1682,1681/1682
27,Total,General,140,1682,1681-1682-90,1681-1682,1681/1682
24,Total,General,141,1682,1681-1682-90,1681-1682,1681/1682
23,Total,General,142,1682,1681-1682-90,1681-1682,1681/1682
11,Total,General,154,1682,1681-1682-90,1681-1682,1681/1682
831,Total,General,24,1682,1681-1682-90,1681-1682,1681/1682
79,Total,General,34,1682,1681-1682-90,1681-1682,1681/1682
29,Total,General,35,1682,1681-1682-90,1681-1682,1681/1682
207,Total,General,40,1682,1681-1682-90,1681-1682,1681/1682
663,Total,General,41,1682,1681-1682-90,1681-1682,1681/1682
576,Total,General,43,1682,1681-1682-90,1681-1682,1681/1682
37,Total,General,9,1682,1681-1682-90,1681-1682,1681/1682
375,Total,General,44,1682,1681-1682-90,1681-1682,1681/1682
,Total,General,71,1682,1681-1682-90,1681-1682,1681/1682
252,Total,General,50,1682,1681-1682-90,1681-1682,1681/1682
339,Total,General,59,1682,1681-1682-90,1681-1682,1681/1682
1406,Total,General,60,1682,1681-1682-90,1681-1682,1681/1682
756,Total,General,130,1682,1681-1682-90,1681-1682,1681/1682
