Year,edited_cause,number,original_Year,original_cause,original_number
1721,Apoplexy,88,1721,apoplexy,88
1722,Apoplexy,100,1722,apoplexy,100
1723,Apoplexy,109,1723,apoplexy,109
1724,Apoplexy,100,1724,apoplexy,100
1725,Apoplexy,108,1725,apoplexy,108
1726,Apoplexy,93,1726,apoplexy,93
1727,Apoplexy,82,1727,apoplexy,82
1728,Apoplexy,73,1728,apoplexy,73
1636,Apoplexy & Convulsion,709,1636,appoplex and convulsion,709
1629,Apoplexy & Meagrim,22,1629,appoplex and meagrome,22
1630,Apoplexy & Meagrim,36,1630,apoplex and meagrome,36
1632,Apoplexy & Meagrim,17,1632,appoplex and meagrome,17
1633,Apoplexy & Meagrim,24,1633,appoplex and meagrome,24
1634,Apoplexy & Meagrim,35,1634,appoplex and meagrome,35
1635,Apoplexy & Meagrim,26,1635,appoplex and meagrome,26
1729,Apoplexy & Planet & Suddenly,182,1729,"apoplexy, planet-struck, and suddenly",182
1649,Apoplexy & Suddenly,64,1649,appoplex and suddenly,64
1650,Apoplexy & Suddenly,74,1650,appoplex and suddenly,74
1651,Apoplexy & Suddenly,106,1651,appoplex and suddenly,106
1652,Apoplexy & Suddenly,111,1652,appoplex and suddenly,111
1653,Apoplexy & Suddenly,118,1653,appoplex and suddenly,118
1654,Apoplexy & Suddenly,86,1654,appoplex and suddenly,86
1655,Apoplexy & Suddenly,92,1655,appoplex and suddenly,92
1656,Apoplexy & Suddenly,102,1656,appoplex and suddenly,102
1657,Apoplexy & Suddenly,113,1657,apoplexy and suddenly,113
1658,Apoplexy & Suddenly,138,1658,appoplex and suddenly,138
1659,Apoplexy & Suddenly,91,1659,appoplex and suddenly,91
1660,Apoplexy & Suddenly,67,1660,appoplex and suddenly,67
1661,Apoplexy & Suddenly,108,1661,appoplex and suddenly,108
1662,Apoplexy & Suddenly,86,1662,apoplexy and suddenly,86
1663,Apoplexy & Suddenly,99,1663,appoplex and suddenly,99
1664,Apoplexy & Suddenly,95,1664,appoplex and suddenly,95
1665,Apoplexy & Suddenly,116,1665,appoplex and suddenly,116
