ageID|weekID|agegroup|ageyearmin|ageyearmax|agen
589|1729/40|10-20|10|19|20
590|1729/40|20-30|20|29|43
591|1729/40|30-40|30|39|52
592|1729/40|40-50|40|49|37
593|1729/40|50-60|50|59|38
594|1729/40|60-70|60|69|33
595|1729/40|70-80|70|79|21
596|1729/40|80-90|80|89|13
597|1729/40|90 upwards|90|120|3
601|1729/41|under 2|0|1|189
602|1729/41|2-5|2|4|40
603|1729/41|5-10|5|9|30
604|1729/41|10-20|10|19|22
605|1729/41|20-30|20|29|36
606|1729/41|30-40|30|39|56
607|1729/41|40-50|40|49|45
608|1729/41|50-60|50|59|48
609|1729/41|60-70|60|69|35
610|1729/41|70-80|70|79|23
611|1729/41|80-90|80|89|15
612|1729/41|90 upwards|90|120|1
616|1729/42|under 2|0|1|201
617|1729/42|2-5|2|4|41
618|1729/42|5-10|5|9|18
619|1729/42|10-20|10|19|17
620|1729/42|20-30|20|29|39
621|1729/42|30-40|30|39|52
622|1729/42|40-50|40|49|54
623|1729/42|50-60|50|59|30
624|1729/42|60-70|60|69|41
625|1729/42|70-80|70|79|21
626|1729/42|80-90|80|89|12
627|1729/42|90 upwards|90|120|1
631|1729/43|under 2|0|1|194
632|1729/43|2-5|2|4|38
633|1729/43|5-10|5|9|23
634|1729/43|10-20|10|19|19
635|1729/43|20-30|20|29|42
636|1729/43|30-40|30|39|52
637|1729/43|40-50|40|49|42
638|1729/43|50-60|50|59|37
639|1729/43|60-70|60|69|31
640|1729/43|70-80|70|79|22
641|1729/43|80-90|80|89|12
642|1729/43|90 upwards|90|120|1
646|1729/44|under 2|0|1|194
647|1729/44|2-5|2|4|41
648|1729/44|5-10|5|9|15
649|1729/44|10-20|10|19|19
650|1729/44|20-30|20|29|40
651|1729/44|30-40|30|39|47
652|1729/44|40-50|40|49|42
653|1729/44|50-60|50|59|41
654|1729/44|60-70|60|69|21
655|1729/44|70-80|70|79|13
656|1729/44|80-90|80|89|11
657|1729/44|90 upwards|90|120|1
661|1729/45|under 2|0|1|191
662|1729/45|2-5|2|4|49
663|1729/45|5-10|5|9|18
664|1729/45|10-20|10|19|21
665|1729/45|20-30|20|29|37
666|1729/45|30-40|30|39|11
669|1729/45|60-70|60|69|34
670|1729/45|70-80|70|79|23
671|1729/45|80-90|80|89|16
672|1729/45|90 upwards|90|120|1
676|1729/46|under 2|0|1|172
677|1729/46|2-5|2|4|29
678|1729/46|5-10|5|9|27
679|1729/46|10-20|10|19|11
680|1729/46|20-30|20|29|36
681|1729/46|30-40|30|39|45
682|1729/46|40-50|40|49|42
683|1729/46|50-60|50|59|42
684|1729/46|60-70|60|69|39
685|1729/46|70-80|70|79|12
686|1729/46|80-90|80|89|20
687|1729/46|90 upwards|90|120|2
691|1729/47|under 2|0|1|170
692|1729/47|2-5|2|4|42
693|1729/47|5-10|5|9|28
694|1729/47|10-20|10|19|22
695|1729/47|20-30|20|29|42
696|1729/47|30-40|30|39|36
697|1729/47|40-50|40|49|42
698|1729/47|50-60|50|59|54
699|1729/47|60-70|60|69|35
700|1729/47|70-80|70|79|14
701|1729/47|80-90|80|89|11
702|1729/47|90 upwards|90|120|1
706|1729/48|under 2|0|1|181
707|1729/48|2-5|2|4|30
708|1729/48|5-10|5|9|20
709|1729/48|10-20|10|19|14
710|1729/48|20-30|20|29|54
711|1729/48|30-40|30|39|41
712|1729/48|40-50|40|49|46
713|1729/48|50-60|50|59|42
714|1729/48|60-70|60|69|22
715|1729/48|70-80|70|79|21
716|1729/48|80-90|80|89|12
717|1729/48|90 upwards|90|120|7
721|1729/49|under 2|0|1|166
722|1729/49|2-5|2|4|49
723|1729/49|5-10|5|9|17
724|1729/49|10-20|10|19|16
725|1729/49|20-30|20|29|44
726|1729/49|30-40|30|39|51
727|1729/49|40-50|40|49|38
728|1729/49|50-60|50|59|34
729|1729/49|60-70|60|69|27
730|1729/49|70-80|70|79|20
731|1729/49|80-90|80|89|21
732|1729/49|90 upwards|90|120|0
736|1729/50|under 2|0|1|176
737|1729/50|2-5|2|4|41
738|1729/50|5-10|5|9|15
739|1729/50|10-20|10|19|14
740|1729/50|20-30|20|29|38
741|1729/50|30-40|30|39|45
742|1729/50|40-50|40|49|48
743|1729/50|50-60|50|59|33
744|1729/50|60-70|60|69|47
745|1729/50|70-80|70|79|25
746|1729/50|80-90|80|89|22
747|1729/50|90 upwards|90|120|0
