weekID|yeartext|year|week|begindate|countsmissing|codmissing|breadmissing|agemissing|countsproblem|codproblem|breadproblem|ageproblem
1648/03|1647-48|1648|3|28-dec-1647|0|0|0|1||||not yet stated
1648/04|1647-48|1648|4|04-jan-1647|0|0|0|1||||not yet stated
1648/05|1647-48|1648|5|11-jan-1647|0|0|0|1||||not yet stated
1648/06|1647-48|1648|6|18-jan-1647|0|0|0|1||||not yet stated
1648/07|1647-48|1648|7|25-jan-1647|0|0|0|1||||not yet stated
1648/08|1647-48|1648|8|01-feb-1647|0|0|0|1||||not yet stated
1648/09|1647-48|1648|9|08-feb-1647|0|0|0|1||||not yet stated
1648/10|1647-48|1648|10|15-feb-1647|0|0|0|1||||not yet stated
1648/11|1647-48|1648|11|22-feb-1647|0|0|0|1||||not yet stated
1648/12|1647-48|1648|12|29-feb-1647|0|0|0|1||||not yet stated
1648/13|1647-48|1648|13|07-mar-1647|0|0|0|1||||not yet stated
1648/14|1647-48|1648|14|14-mar-1647|0|0|0|1||||not yet stated
1648/15|1647-48|1648|15||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/16|1647-48|1648|16||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/17|1647-48|1648|17||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/18|1647-48|1648|18||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/19|1647-48|1648|19||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/20|1647-48|1648|20||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/21|1647-48|1648|21||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/22|1647-48|1648|22||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/23|1647-48|1648|23||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/24|1647-48|1648|24||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/25|1647-48|1648|25||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/26|1647-48|1648|26||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/27|1647-48|1648|27||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/28|1647-48|1648|28||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/29|1647-48|1648|29||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/30|1647-48|1648|30||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/31|1647-48|1648|31||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/32|1647-48|1648|32||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/33|1647-48|1648|33||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/34|1647-48|1648|34||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/35|1647-48|1648|35||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/36|1647-48|1648|36||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/37|1647-48|1648|37||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/38|1647-48|1648|38||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/39|1647-48|1648|39||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/40|1647-48|1648|40||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/41|1647-48|1648|41||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/42|1647-48|1648|42||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/43|1647-48|1648|43||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/44|1647-48|1648|44||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/45|1647-48|1648|45||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/46|1647-48|1648|46||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/47|1647-48|1648|47||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/48|1647-48|1648|48||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/49|1647-48|1648|49||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/50|1647-48|1648|50||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/51|1647-48|1648|51||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1648/52|1647-48|1648|52||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1649/01|1648-49|1649|1||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1649/02|1648-49|1649|2||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1649/03|1648-49|1649|3||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1649/04|1648-49|1649|4||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1649/05|1648-49|1649|5||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1649/06|1648-49|1649|6||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1649/07|1648-49|1649|7||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1649/08|1648-49|1649|8||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1649/09|1648-49|1649|9||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1649/10|1648-49|1649|10||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1649/11|1648-49|1649|11||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1649/12|1648-49|1649|12||1|1|1|1|no Bill|no Bill|no Bill|no Bill
